original_name,canonical_name,unit,data_type,sampling_rate,missing_percentage,source_dataset,notes
E1 CHT4,cht_4_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 4 Head Temperature
E1 CHT5,cht_5_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 5 Head Temperature (6-cyl variant)
E1 CHT6,cht_6_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 6 Head Temperature (6-cyl variant)
E1 EGT1,egt_1_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 1 Exhaust Gas Temperature
E1 EGT2,egt_2_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 2 Exhaust Gas Temperature
E1 EGT3,egt_3_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 3 Exhaust Gas Temperature
E1 EGT4,egt_4_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 4 Exhaust Gas Temperature
E1 EGT5,egt_5_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 5 Exhaust Gas Temperature (6-cyl variant)
E1 EGT6,egt_6_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Cylinder 6 Exhaust Gas Temperature (6-cyl variant)
E1 TIT1,tit_1_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Turbine Inlet Temperature #1 (Turbocharger)
E1 TIT2,tit_2_c,deg F (to deg C),float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Turbine Inlet Temperature #2 (Turbocharger)
AltGPS,unmapped_altgps,ft wgs,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
TAS,unmapped_tas,kt,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
HSIS,unmapped_hsis,enum,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
CRS,unmapped_crs,deg,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
NAV1,unmapped_nav1,MHz,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
NAV2,unmapped_nav2,MHz,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
COM1,unmapped_com1,MHz,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
COM2,unmapped_com2,MHz,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
HCDI,unmapped_hcdi,fsd,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
VCDI,unmapped_vcdi,fsd,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
WndSpd,unmapped_wndspd,kt,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
WndDr,unmapped_wnddr,deg,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
WptDst,unmapped_wptdst,nm,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
WptBrg,unmapped_wptbrg,deg,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
MagVar,unmapped_magvar,deg,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
AfcsOn,unmapped_afcson,bool,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
RollM,unmapped_rollm,enum,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
PitchM,unmapped_pitchm,enum,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
RollC,unmapped_rollc,deg,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
PichC,unmapped_pichc,deg,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
VSpdG,unmapped_vspdg,fpm,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
GPSfix,unmapped_gpsfix,enum,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
HAL,unmapped_hal,mt,float64,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
VAL,unmapped_val,mt,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
HPLwas,unmapped_hplwas,mt,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
HPLfd,unmapped_hplfd,mt,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
VPLwas,unmapped_vplwas,mt,object,1.0 Hz,0.036%,NGAFID Garmin G1000,Avionics flight dynamic or navigation auxiliary channel
